### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Clic4     6.1979e-47     0.9822     0.293     0.079
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Map7     1.9153e-41     0.9798     0.246     0.059
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tt     1.248e-44     0.9796     0.349     0.13
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Epb41l3     1.0068e-49     0.9786     0.317     0.087
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Apbb1     1.5203e-47     0.9703     0.3     0.081
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Rnf7     3.0817e-66     0.9696     0.475     0.179
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gstm7     4.1166e-49     0.9546     0.286     0.065
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fads6     1.9783e-40     0.9541     0.262     0.072
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Serpinb1a     6.8079e-52     0.954     0.304     0.074
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Ts2     8.5387e-38     0.948     0.275     0.096
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sox10     5.3332e-55     0.9465     0.365     0.107
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmbim1     6.774e-54     0.9465     0.397     0.139
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Anln     9.9714e-40     0.9449     0.219     0.046
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Phldb1     3.5134e-44     0.9422     0.291     0.081
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gjc3     7.9347e-50     0.9418     0.349     0.107
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ttyh2     1.0531e-40     0.9371     0.252     0.064
